puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
ahkifbeojpnldgmc,disjoint-database,53,dlurdruruullddldrruuldrrdluruulddruuldlldrrulldrurdrd,41,2005.1,1363025,679780,7
ofphgbjkealcinmd,disjoint-database,44,lldrddruuulldrrulldddrururddluuurddluurdldrd,36,18.562,9857,531031,5
acphefndboimlgjk,disjoint-database,46,rdlullddrrrulldrdllurrdluulurdrdrdlllurrdlurrd,38,59.006,34380,582653,5
ecknilgajodhbmpf,disjoint-database,51,ulurrdldrullurruldrdluurdluldddlurdruulddluuurdddrr,41,551.164,359376,652031,6
npefdcaligokmbhj,disjoint-database,47,rdllurrdldrrulddluulurrrdlddruuldluruldrddlurrd,41,122.907,71629,582790,4
ekcmfjniadohplbg,disjoint-database,61,ururruldrdldluurdrdlluldrruluulddruurddruldluuldrddluururrddd,47,2732.16,1852368,677985,8
deigpohmlbfnckja,disjoint-database,63,ddrrruulurdllldrdrurullulddrdlurrrulullddrrdllurrdruuullldrddrr,53,667.548,443506,664381,6
pmcognljekfaibhd,disjoint-database,56,ddruulddrdluurdrurullddlurrrddluurddluldlururuldlurrrddd,46,112.892,71762,635669,6
dbgklaemfpijocnh,disjoint-database,53,dluurrrullldrrulldrdldruluurdrrullddrdllurrrdllururdd,45,119.589,77965,651941,5
focmnibjehdlpgak,disjoint-database,57,uururdddruulldrulurrdllddruuuldrdlulurrddrdlluldruuldrrdr,47,753.388,462061,613311,6
mpnkhdcljegboifa,disjoint-database,59,dddrurdllurrululddrurulldlurrdldluruldrddlurrdruulddluurdrd,49,395.952,246945,623674,6
mlihbjpokdfnagce,disjoint-database,53,dluurdddluuuldrurdddruuulddlldrrrulluldrdluruulddrdrr,49,18.6,11261,605430,3
ajbecfkhidogmlnp,disjoint-database,44,ululddruulurddldrruuuldrdldluulurdrulldrrddr,30,404.599,272115,672555,8
cfehabmgilnpkdjo,disjoint-database,45,dluldrrululddlurrulurdddluuuldrrrullddldrurdr,39,3.058,1276,417266,4
dobpijgfhnaelcmk,disjoint-database,57,dlulldrrdldruruullddluurdrdlldrulurrrullldrrdruldldrruldr,49,60.131,36850,612829,5
inaebmoldpcjkghf,disjoint-database,53,uldrdlurrulurrddllulurdruldrddruuuldddlulurdrrulldrdr,45,79.37,50675,638465,5
anpofgihbdmjckle,disjoint-database,56,lddrdllurdrrululddruldlurdrruulurddluuldddruuuldldrdrurd,44,692.084,453612,655429,7
akgheocfjmlpdinb,disjoint-database,47,uuldrdlullddrrruldlulurdrulurdldldrruurulldrrdd,35,83.4,53021,635743,7
ljmngeckfopdaihb,disjoint-database,58,lururddldruluuldlurdlddrruulldrdruuurddluulldrdruuldlddrrr,48,282.059,176742,626614,6
